cik,original,cloned
1016150,-14.0,11.6
1600152,8.4,23.6
1634155,-6.2,2.9
1282550,-15.2,-37.9
1390113,24.6,55.5
1756695,-5.5,-1.0
1512814,3.8,6.1
1604350,14.8,5.3
1621225,46.1,207.9
1318011,2.2,2.8
105495,-3.6,6.9
1066816,9.9,13.4
1321194,-5.7,-3.4
1314273,7.9,0.5
846222,-3.8,-2.0
1085041,5.3,19.1
1284208,-4.6,-3.7
1786241,-2.9,4.4
1730814,204.5,18.6
1353316,-17.5,-21.6
1595961,-37.8,-47.8
1575581,5.3,32.1
799004,-10.3,-7.3
1429788,16.9,60.3
1746438,-1.1,11.9
1426196,-4.5,4.0
1738887,-17.9,13.0
1632407,18.3,18.6
53417,-10.5,-8.8
1812155,-1.6,4.5
1707202,37.1,41.1
1280200,-7.3,1.9
1727605,26.0,33.2
1590073,26.4,9.0
1767121,0.9,2.5
1326389,3.4,21.8
1767313,2.3,3.1
1632097,16.7,48.4
1144492,2.8,-3.9
850529,103.6,2.5
887777,-1.8,0.8
897378,1.2,4.2
1398346,123.8,17.8
1653857,9.1,33.2
1719307,53.0,164.8
799003,0.6,2.2
924181,-0.5,4.2
1353311,-21.0,-25.0
1697848,19.1,28.2
1317253,-13.0,-6.9
1442276,-38.3,41.8
1276918,-5.4,19.0
1464586,16.3,13.1
1616659,3.2,4.7
1520770,62.3,177.4
1511037,3.5,14.2
1665199,20.2,28.5
1652529,3.6,10.1
1484368,27.2,46.1
1729754,2.4,2.0
1706915,-2.0,0.9
1388312,-8.6,-10.7
1367786,-0.1,4.6
1537191,-5.3,-8.8
1708872,4.2,5.1
1728449,5.8,20.2
1304229,-12.9,-7.4
828405,-70.2,-55.0
1700481,54.7,50.8
36270,57.0,88.4
1633517,-17.7,-13.0
1732543,41.1,374.8
1596510,-5.6,-8.9
857508,-12.3,-8.4
1674486,-3.2,-19.0
1481045,0.2,7.2
1599900,99.6,320.0
1704677,7.9,17.4
1716180,2.2,8.5
1360798,12.1,17.8
1381296,1.3,6.0
728079,-9.0,-4.1
1269932,-10.2,-14.4
1053906,0.4,-6.8
1317601,-72.5,-38.9
1307493,-2.4,127.7
1512026,17.2,179.6
778963,60.0,-5.5
1716983,1.6,6.7
1445065,13.4,13.2
1423045,-2.5,20.6
1072843,-11.4,-9.2
1525234,-4.2,-3.3
1080166,-4.8,-1.5
1184820,1.8,3.8
883782,-2.8,53.9
1280493,140.5,188.1
1767580,25.9,15.5
1755670,16.9,25.8
895421,5.4,194.9
1741426,176.5,217.1
1478775,3.3,17.0
1008894,-16.0,-13.3
1559789,62.8,49.9
1703658,-41.8,-18.7
1716984,6.2,294.1
1352662,-15.1,-5.6
1501436,6.5,6.6
1653866,21.1,7.9
1609674,9.6,14.4
1278249,90.7,-3.3
1537530,10.9,25.5
1517137,1.2,-10.4
1265376,-11.5,-10.6
1513125,1.2,8.9
1083190,-4.0,-3.2
898581,-14.9,-14.8
1341401,-13.4,-11.9
1531611,-18.1,-17.2
1284812,-6.2,-3.2
924166,0.2,240.5
1040198,-0.7,-6.6
1664864,4.7,8.6
49969,-27.1,-27.3
1779453,-35.3,-10.4
1030815,92.0,-31.8
1542317,-9.8,-8.0
1376879,19.7,32.5
1493936,-2.5,-2.2
1488542,151.0,41.4
1309148,4.5,169.9
1406585,2.6,-32.2
1086416,12.0,41.7
1769063,34.3,39.6
938506,-33.3,-26.3
1133385,118.6,33.5
1541901,14.5,260.7
1730467,35.7,38.2
1387978,-6.3,-4.7
1482611,100.9,-8.8
1803662,50.5,142.7
1791827,5.0,8.5
1698222,2.0,-11.4
1172779,-1.1,5.0
1524566,49.9,47.1
1571556,18.9,22.9
1512652,-5.2,7.2
1080382,25.8,6.5
1775863,-0.6,4.2
1335325,-9.6,-23.9
922898,19.4,1.2
1484972,-13.6,19.9
1418814,-19.3,-26.2
1513122,0.1,-2.9
1082045,-20.4,-25.4
1519418,-26.8,-21.2
1580830,92.9,125.9
1639666,-0.4,5.4
1401561,6.6,9.4
1631639,13.5,-6.0
1661149,10.4,131.7
1309342,-15.9,9.1
1781880,-0.0,23.0
1415996,9.5,-4.9
862853,-37.0,33.6
1127544,-6.2,-5.1
1767307,65.4,68.2
1438848,-21.3,-13.0
1349654,7.1,12.2
1805754,-2.0,4.5
1802743,2.3,6.5
1094749,-5.4,0.2
1323276,-1.7,289.0
1537147,-15.2,-12.4
1730469,97.0,120.1
1466697,40.3,75.8
1716399,16.5,21.2
1218179,-22.6,-26.3
1019754,67.3,212.6
1812177,5.5,17.9
1067324,100.6,-1.2
1803237,93.0,132.3
1803005,-12.7,-2.5
1694886,117.1,-3.1
1535845,-12.3,339.7
1442891,12.5,20.3
1697855,-3.6,45.4
1387723,-4.7,11.9
1122490,-5.6,-3.2
1594061,-8.4,29.1
1218710,9.9,-1.1
1140474,14.3,0.4
1217758,3.9,4.9
1085867,-2.6,-7.7
1569766,-12.3,-10.2
1724264,2.8,-1.7
1085635,2.7,-2.8
1536630,-3.5,3.6
