cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1633861,5.2,1.165,18.5,19.9,13.7,0.5,0.931,33.0,-36.53,6.8,13.6,0.5
1729673,7.9,1.137,21.9,23.8,20.5,0.839,1.348,23.7,-20.45,9.3,5.5,1.691
1784260,-4.3,1.086,7.6,7.8,6.0,0.309,0.581,18.0,-20.18,-3.5,3.9,-0.897
1091561,92.1,0.237,97.3,138.9,-2.1,0.317,2.322,300.4,-89.86,82.0,150.3,0.546
1607866,2.0,1.258,16.1,17.2,14.6,0.672,0.993,21.1,-23.2,4.5,4.8,0.938
1034549,-15.4,0.975,-2.6,-2.5,-5.0,-0.206,-0.208,22.2,-23.78,-15.7,8.4,-1.869
1352122,-8.2,1.352,8.4,8.7,4.9,0.244,0.429,26.2,-27.94,-4.4,8.9,-0.494
1682475,-1.0,4.024,43.6,51.3,4.6,0.454,0.791,91.7,-78.51,31.0,38.4,0.807
1740871,17.7,2.482,59.7,74.4,43.8,0.732,2.964,78.8,-30.04,41.6,34.6,1.202
1418329,-3.0,1.171,11.3,11.8,8.8,0.388,0.875,24.1,-23.3,-1.2,8.4,-0.143
1563530,19.4,-0.342,17.1,18.2,-7.2,0.189,0.496,80.0,-61.57,2.4,41.6,0.058
897293,-18.3,1.295,-5.7,-5.5,-6.6,-0.555,-0.411,13.8,-25.85,-15.8,3.3,-4.788
1678953,48.0,2.946,83.0,112.5,33.1,0.464,2.09,174.3,-56.24,69.8,85.1,0.82
1091559,18.0,0.833,28.5,31.6,31.4,4.129,,6.4,-0.04,16.3,1.6,10.188
1760472,10.2,1.232,25.6,28.2,21.9,0.69,1.813,34.2,-24.48,12.7,13.0,0.977
11544,20.6,-0.481,18.0,19.2,10.4,0.375,1.338,42.5,-24.52,6.4,24.0,0.267
1632715,-2.4,0.919,10.6,11.0,8.8,0.423,0.746,20.3,-23.52,-3.3,6.5,-0.508
1411268,-0.9,0.589,7.2,7.4,6.7,0.433,0.679,12.1,-14.48,-5.3,5.3,-1.0
1105344,-10.4,1.081,3.3,3.3,1.5,0.07,0.163,18.6,-22.95,-9.5,4.8,-1.979
1579254,-8.8,1.61,10.1,10.5,3.8,0.225,0.399,36.0,-49.81,-2.4,14.2,-0.169
1455924,-4.0,-0.115,-3.3,-3.3,-6.8,-0.198,-0.19,26.8,-32.23,-16.7,13.9,-1.201
1765590,-2.1,1.195,12.9,13.5,10.5,0.477,0.609,22.9,-29.64,0.0,3.8,0.0
1550188,7.4,-0.104,8.4,8.6,-6.8,0.118,0.262,53.6,-51.47,-3.8,28.3,-0.134
1053013,8.8,0.851,19.7,21.2,15.1,0.521,0.845,34.0,-37.19,7.2,15.9,0.453
1736465,44.9,0.475,52.1,63.2,54.2,1.338,2.94,37.5,-26.74,39.2,19.0,2.063
315014,-4.4,0.923,7.3,7.5,3.7,0.191,0.361,27.6,-29.49,-5.2,12.0,-0.433
1772715,18.3,0.18,22.3,24.2,22.5,1.124,3.551,18.0,-9.25,9.4,11.9,0.79
1286478,55.1,1.402,72.2,94.2,58.9,0.685,5.094,102.5,-20.17,59.4,50.2,1.183
