Date,Ticker,Open,High,Low,Close,Volume,OpenAdjusted,HighAdjusted,LowAdjusted,CloseAdjusted,VolumeAdjusted
2022-02-07,KWAC,10.15,10.17,10.15,10.15,315.0,10.15,10.17,10.15,10.15,315.0
2022-02-08,KWAC,10.15,10.18,10.15,10.1701,54537.0,10.15,10.18,10.15,10.1701,54537.0
2022-02-09,KWAC,10.16,10.17,10.16,10.17,2731.0,10.16,10.17,10.16,10.17,2731.0
2022-02-10,KWAC,10.16,10.18,10.16,10.16,83.0,10.16,10.18,10.16,10.16,83.0
2022-02-11,KWAC,10.18,10.18,10.16,10.16,113.0,10.18,10.18,10.16,10.16,113.0
2022-02-14,KWAC,10.16,10.18,10.16,10.18,6760.0,10.16,10.18,10.16,10.18,6760.0
2022-02-15,KWAC,10.18,10.18,10.17,10.17,76.0,10.18,10.18,10.17,10.17,76.0
2022-02-16,KWAC,10.17,10.18,10.17,10.17,110.0,10.17,10.18,10.17,10.17,110.0
2022-02-17,KWAC,10.17,10.18,10.17,10.17,3488.0,10.17,10.18,10.17,10.17,3488.0
2022-02-18,KWAC,10.18,10.18,10.17,10.17,83.0,10.18,10.18,10.17,10.17,83.0
2022-02-21,KWAC,10.18,10.18,10.17,10.17,83.0,10.18,10.18,10.17,10.17,83.0
2022-02-22,KWAC,10.1797,10.18,10.17,10.17,28095.0,10.1797,10.18,10.17,10.17,28095.0
2022-02-23,KWAC,10.17,10.18,10.15,10.17,32005.0,10.17,10.18,10.15,10.17,32005.0
2022-02-24,KWAC,10.17,10.18,10.17,10.17,575.0,10.17,10.18,10.17,10.17,575.0
2022-02-25,KWAC,10.175,10.18,10.175,10.175,94.0,10.175,10.18,10.175,10.175,94.0
2022-02-28,KWAC,10.18,10.185,10.18,10.18,136884.0,10.18,10.185,10.18,10.18,136884.0
2022-03-01,KWAC,10.18,10.18,10.17,10.18,62804.0,10.18,10.18,10.17,10.18,62804.0
2022-03-02,KWAC,10.18,10.18,10.17,10.18,51219.0,10.18,10.18,10.17,10.18,51219.0
2022-03-03,KWAC,10.17,10.18,10.17,10.18,19340.0,10.17,10.18,10.17,10.18,19340.0
2022-03-04,KWAC,10.18,10.19,10.17,10.19,25834.0,10.18,10.19,10.17,10.19,25834.0
2022-03-07,KWAC,10.19,10.19,10.18,10.19,7458.0,10.19,10.19,10.18,10.19,7458.0
2022-03-08,KWAC,10.1801,10.19,10.18,10.18,12965.0,10.1801,10.19,10.18,10.18,12965.0
